feature,Good,Defective,absolute_difference
161,4087.8872180451126,3742.980769230769,344.90644881434355
159,862.1120984278879,1167.0288461538462,304.9167477259583
21,-5636.36021872864,-5363.822115384615,272.5381033440244
24,-284.30092255639096,-495.4935865384615,211.19266398207054
160,541.5338345864661,747.3942307692307,205.8603961827646
162,4805.227614490773,4625.6442307692305,179.5833837215423
294,391.34122590567324,546.7809076923077,155.43968178663442
296,1887.0698163362952,1755.9046192307692,131.16519710552598
295,246.02467990430623,350.0111961538462,103.98651624953996
22,2705.13004101162,2617.7884615384614,87.34157947315862
90,8833.021081681476,8749.358032692307,83.6630489891686
511,270.77917170198225,343.82616923076927,73.04699752878702
23,-3811.0422077238554,-3739.863781730769,71.17842599308642
204,27.52882939166097,96.33493653846153,68.80610714680057
297,2345.148729254956,2280.882958653846,64.26577060111003
468,227.22125857826384,176.3233951923077,50.89786338595616
67,13.41703000683527,62.20732980769231,48.79029980085704
488,355.6406872863978,309.1308076923077,46.50987959409008
433,202.6222805878332,245.2264048076923,42.6041242198591
3,1398.1986566643882,1355.7814346153848,42.417222049003385
499,265.4357119617225,226.6257798076923,38.80993215403021
340,12.2048010252905,48.55767596153846,36.35287493624796
225,1036.2707998632945,1072.2105423076923,35.93974244439778
484,216.5000114832536,180.59559615384615,35.90441532940744
418,322.54708209159264,287.7276673076923,34.819414783900356
486,299.7123401230349,329.6744105769231,29.962070453888202
140,27.661773000683525,0.3183855769230769,27.343387423760447
485,201.45023677375258,176.0055971153846,25.444639658367976
510,54.430400683527,74.34794903846154,19.91754835493454
500,239.39284682159945,258.6934605769231,19.30061375532364
419,307.7758260423787,326.44035576923073,18.664529726852038
489,270.1390976760082,288.5774173076923,18.438319631684124
431,21.187932740943268,38.70734230769231,17.51940956674904
483,206.82739999999998,189.42007884615384,17.40732115384614
363,331.44697758031447,348.14424086538463,16.697263285070164
430,17.36416903622693,33.15611538461538,15.791946348388453
434,13.716830280246068,28.954782692307692,15.237952412061624
521,10.60073000683527,25.8089125,15.208182493164731
435,8.37338933697881,23.30697307692308,14.933583739944268
436,6.530367053998633,21.24868653846154,14.718319484462908
572,29.191639644565964,18.019613461538462,11.172026183027501
487,238.1760034859877,228.10276057692306,10.073242909064646
482,318.69564524948737,308.7728942307692,9.922751018718145
275,9.22121107313739,0.10601153846153846,9.11519953467585
115,747.9533277511962,739.3719509615385,8.581376789657725
0,3014.9331373889268,3007.52625,7.406887388926862
135,118.34996582365004,112.0576923076923,6.292273515957731
423,77.22876052631578,83.5093951923077,6.2806346659919114
137,122.25946684894053,128.4548076923077,6.195340843367163
59,2.555731134654819,8.515123076923077,5.959391942268258
